ticker,ipo_date,offer_price,raised_b,day1_close,price_1m,price_6m,price_12m,quality,notes
BABA,2014-09-19,68,25.0,93.89,88.70,84.50,64.75,training_data,
FB,2012-05-18,38,16.0,38.23,31.40,23.10,26.25,training_data,
V,2008-03-19,44,17.9,56.50,66.00,70.00,56.00,approx,post-IPO prices are estimates; financial-crisis period
RIVN,2021-11-10,78,11.9,100.73,109.70,22.60,33.00,training_data,1m disputed: auditor says ~93 (post-earnings); 109.70 is pre-earnings Dec 10 -- sensitivity run with 93
ARM,2023-09-14,51,4.9,63.59,53.00,130.00,135.00,training_data,
UBER,2019-05-10,45,8.1,41.57,44.20,26.90,31.50,training_data,
COIN,2021-04-14,,0.0,328.28,258.00,248.00,153.00,training_data,direct listing; $250 reference price was not buyable -- excluded from offer-based stats
SNOW,2020-09-16,120,3.9,253.93,250.00,231.00,308.00,training_data,
CRCL,2025-06-05,31,1.1,83.23,200.00,84.14,,verified,d1/6m verified; 1m ~200 from memory of early-July peak area -- approx
FIG,2025-07-31,33,1.2,115.50,68.00,21.50,,verified,6m verified (down >1/3 from offer Jan 2026); 1m approx
CRWV,2025-03-28,40,1.5,40.00,43.00,125.00,,approx,1m/6m unverified; 6m +212% is the largest positive outlier
VG,2025-01-24,25,1.75,24.05,16.00,13.00,,approx,1m/6m unverified
